"Location","GDP per capita","Continent"
"Afghanistan",575.370,"Middle East"
"Armenia",3047.990,"Eastern Europe"
"Azerbaijan",7509.733,"Asia"
"Benin",756.365,"Africa"
"Bolivia",2246.273,"South America"
"Bosnia and Herzegovina",4714.916,"Eastern Europe"
"Bulgaria",7242.916,"Eastern Europe"
"Burkina Faso",669.954,"Africa"
"Burundi",196.981,"Africa"
"Cambodia",911.729,"Africa"
"Cameroon",1234.063,"Africa"
"Chad",920.158,"Africa"
"Chile",13969.505,"South America"
"Colombia",6980.425,"South America"
"Congo",3792.031,"Africa"
"Costa Rica",8488.637,"Central America"
"Cote D'Ivoire",1049.074,"Africa"
"Dominican Republic",5405.539,"North America"
"Ecuador",4352.492,"South America"
"El Salvador",3830.530,"Central America"
"Gaza",2900.000,"Middle East"
"Georgia",3097.583,"Eastern Europe"
"Ghana",1587.857,"Africa"
"Guatemala",3177.302,"Central America"
"Haiti",738.897,"North America"
"Honduras",2105.016,"Central America"
"Indonesia",3469.269,"Asia"
"Iraq",3306.152,"Middle East"
"Israel",32297.667,"Middle East"
"Jordan",4541.913,"Middle East"
"Kenya",882.464,"Africa"
"Kyrgyzstan",970.460,"Asia"
"Lebanon",10473.642,"Middle East"
"Liberia",258.208,"Africa"
"Mali",795.743,"Africa"
"Mexico",10802.849,"North America"
"Moldova",2021.545,"Eastern Europe"
"Mongolia",3131.213,"Asia"
"Mozambique",551.417,"Africa"
"Nepal",643.731,"Asia"
"Nicaragua",1201.847,"Central America"
"Nigeria",1541.254,"Africa"
"Pakistan",1164.113,"Asia"
"Palestine",1490.000,"Middle East"
"Paraguay",3421.115,"South America"
"Peru",5613.554,"South America"
"Philippines",2254.890,"Asia"
"Rwanda",584.966,"Africa"
"Samoa",3049.438,"Asia"
"Senegal",1095.746,"Africa"
"Sierra Leone",347.400,"Africa"
"South Africa",8342.161,"Africa"
"South Sudan",1938.960,"Africa"
"Sri Lanka",2863.813,"Asia"
"Tajikistan",861.979,"Asia"
"Tanzania",550.006,"Africa"
"Thailand",5281.487,"Asia"
"The Democratic Republic of the Congo",648.634,"Africa"
"Togo",510.933,"Africa"
"Turkey",10576.029,"Middle East"
"Uganda",453.336,"Africa"
"Ukraine",3574.909,"Eastern Europe"
"United States",48147.228,"North America"
"Viet Nam",1361.574,"Asia"
"Yemen",1460.091,"Middle East"
"Zambia",1355.054,"Africa"
"Zimbabwe",734.968,"Africa"
